date,symbol,open,high,low,close,adj_close,volume
2025-09-08,NDXCOMP,21806.224000,21885.621000,21776.244000,21798.699000,21798.699000,0
2025-09-09,NDXCOMP,21858.169000,21891.421000,21731.476000,21879.489000,21879.489000,0
2025-09-10,NDXCOMP,21980.601000,22000.969000,21810.842000,21886.060000,21886.060000,0
2025-09-11,NDXCOMP,21977.515000,22059.706000,21908.807000,22043.075000,22043.075000,0
2025-09-12,NDXCOMP,22078.629000,22182.342000,22031.616000,22141.103000,22141.103000,0
2025-09-15,NDXCOMP,22243.199000,22352.249000,22233.003000,22348.749000,22348.749000,0
2025-09-16,NDXCOMP,22397.498000,22397.498000,22308.780000,22333.959000,22333.959000,0
2025-09-17,NDXCOMP,22333.016000,22339.542000,22058.917000,22261.326000,22261.326000,0
2025-09-18,NDXCOMP,22439.111000,22540.930000,22358.485000,22470.725000,22470.725000,0
2025-09-19,NDXCOMP,22554.315000,22645.112000,22497.708000,22631.476000,22631.476000,0
2025-09-22,NDXCOMP,22606.592000,22801.896000,22590.857000,22788.976000,22788.976000,0
2025-09-23,NDXCOMP,22782.718000,22785.127000,22539.043000,22573.473000,22573.473000,0
2025-09-24,NDXCOMP,22656.015000,22657.450000,22396.998000,22497.855000,22497.855000,0
2025-09-25,NDXCOMP,22318.766000,22456.778000,22185.866000,22384.698000,22384.698000,0
2025-09-26,NDXCOMP,22403.273000,22488.181000,22285.439000,22484.068000,22484.068000,0
2025-09-29,NDXCOMP,22605.299000,22704.902000,22536.055000,22591.154000,22591.154000,0
2025-09-30,NDXCOMP,22580.359000,22671.390000,22493.963000,22660.009000,22660.009000,0
2025-10-01,NDXCOMP,22530.946000,22782.580000,22516.737000,22755.157000,22755.157000,0
2025-10-02,NDXCOMP,22885.905000,22900.602000,22729.753000,22844.051000,22844.051000,0
2025-10-03,NDXCOMP,22886.157000,22925.428000,22695.816000,22780.506000,22780.506000,0
2025-10-06,NDXCOMP,22894.352000,22991.716000,22827.563000,22941.667000,22941.667000,0
2025-10-07,NDXCOMP,22972.369000,23006.070000,22718.763000,22788.363000,22788.363000,0
2025-10-08,NDXCOMP,22852.324000,23045.136000,22845.419000,23043.378000,23043.378000,0
2025-10-09,NDXCOMP,23045.329000,23062.622000,22899.164000,23024.626000,23024.626000,0
2025-10-10,NDXCOMP,23043.519000,23119.907000,22193.074000,22204.430000,22204.430000,0
2025-10-13,NDXCOMP,22578.674000,22718.748000,22499.490000,22694.608000,22694.608000,0
2025-10-14,NDXCOMP,22388.043000,22691.072000,22213.729000,22521.701000,22521.701000,0
2025-10-15,NDXCOMP,22738.496000,22841.687000,22427.794000,22670.080000,22670.080000,0
2025-10-16,NDXCOMP,22764.398000,22886.868000,22404.694000,22562.537000,22562.537000,0
2025-10-17,NDXCOMP,22489.815000,22736.011000,22396.646000,22679.975000,22679.975000,0
2025-10-20,NDXCOMP,22844.820000,23031.873000,22841.000000,22990.543000,22990.543000,0
2025-10-21,NDXCOMP,22984.551000,23010.350000,22894.419000,22953.666000,22953.666000,0
2025-10-22,NDXCOMP,22940.790000,22978.397000,22514.082000,22740.396000,22740.396000,0
2025-10-23,NDXCOMP,22751.329000,22983.456000,22732.181000,22941.798000,22941.798000,0
2025-10-24,NDXCOMP,23143.226000,23261.259000,23127.955000,23204.867000,23204.867000,0
2025-10-27,NDXCOMP,23537.319000,23658.657000,23493.956000,23637.456000,23637.456000,0
2025-10-28,NDXCOMP,23766.463000,23901.357000,23675.190000,23827.493000,23827.493000,0
2025-10-29,NDXCOMP,23987.290000,24019.993000,23763.995000,23958.473000,23958.473000,0
2025-10-30,NDXCOMP,23793.082000,23846.132000,23578.469000,23581.144000,23581.144000,0
2025-10-31,NDXCOMP,23941.775000,23946.232000,23628.825000,23724.957000,23724.957000,0
2025-11-03,NDXCOMP,23951.911000,23976.840000,23764.871000,23834.723000,23834.723000,0
2025-11-04,NDXCOMP,23458.211000,23644.150000,23333.317000,23348.637000,23348.637000,0
