as_of_date,open_interest,nc_long,nc_short
2015-08-04,   70634,   22066,    6270
2015-08-11,   68902,   18343,    5983
2015-08-18,   70143,   20950,    6174
2015-08-25,   63216,   12715,   10429
2015-09-01,   59008,    9569,   10790
2015-09-08,   59221,    9125,   10282
2015-09-15,   64703,   10479,   10603
2015-09-22,   53300,   13113,   11306
2015-09-29,   52099,   11103,   10695
2015-10-06,   52137,   11684,    9777
2015-10-13,   53639,   12252,    9901
2015-10-20,   57673,   15197,    9187
2015-10-27,   64871,   18064,    6701
2015-11-03,   68337,   19984,    5956
2015-11-10,   72983,   22793,    6480
2015-11-17,   69955,   19525,    5752
2015-11-24,   67450,   18197,    7153
2015-12-01,   69314,   18966,    7614
2015-12-08,   67445,   19111,    8312
2015-12-15,   77044,   19540,    7236
2015-12-22,   61599,   16793,    7215
2015-12-29,   63214,   19138,    6954
2016-01-05,   60436,   16822,    9629
2016-01-12,   60148,   17207,   10561
2016-01-19,   55449,   14497,    8681
2016-01-26,   53779,   14211,    8152
2016-02-02,   54214,   14327,    9978
2016-02-09,   57062,   13290,   11366
2016-02-16,   53918,   11892,   11966
2016-02-23,   52133,   11632,   11057
2016-03-01,   51617,   12650,    9870
2016-03-08,   52461,   13088,   11732
2016-03-15,   55478,   10298,   11178
2016-03-22,   42279,   11788,   10196
2016-03-29,   44012,   14524,   10298
2016-04-05,   43356,   14237,    8379
2016-04-12,   44895,   15202,    7579
2016-04-19,   47078,   17729,    7631
2016-04-26,   45360,   15658,    8295
2016-05-03,   48150,   14503,   12637
2016-05-10,   46611,   11035,   12899
2016-05-17,   44755,    9160,   10680
2016-05-24,   44271,   14308,    8267
2016-05-31,   46379,   19443,    8450
2016-06-07,   48764,   19837,    7293
2016-06-14,   57521,   23825,    7186
2016-06-21,   43667,   21007,    5689
2016-06-28,   41211,   16351,    6989
2016-07-05,   40019,   15821,    6895
2016-07-12,   45807,   20714,    6255
2016-07-19,   50432,   24796,    5537
2016-07-26,   54783,   29332,    5275
2016-08-02,   56902,   32123,    5787
2016-08-09,   57841,   32121,    5792
2016-08-16,   59338,   32694,    7105
2016-08-23,   59466,   32440,    6814
2016-08-30,   61088,   36144,    6736
2016-09-06,   61802,   35883,    7137
2016-09-13,   64292,   26815,    7582
2016-09-20,   54968,   29634,    5891
2016-09-27,   59441,   33393,    6094
2016-10-04,   59174,   33176,    5698
2016-10-11,   59494,   31725,    5865
2016-10-18,   60955,   36889,    5465
2016-10-25,   63259,   38321,    5788
2016-11-01,   63297,   32281,    5941
2016-11-08,   59822,   25589,    5269
2016-11-15,   51101,   21851,    7569
2016-11-22,   50117,   23690,    6837
2016-11-29,   51057,   24991,    7137
2016-12-06,   50837,   20168,    9623
2016-12-13,   59800,   22787,    7363
2016-12-20,   44391,   22870,    7882
2016-12-27,   44880,   23167,    6463
2017-01-03,   45925,   23770,    9034
2017-01-10,   44423,   23149,    6807
2017-01-17,   45075,   24522,    6721
2017-01-24,   44694,   23447,    5910
2017-01-31,   47517,   26101,    6161
2017-02-07,   46339,   24543,    6060
2017-02-14,   45770,   24046,    6110
2017-02-21,   46915,   24753,    8878
2017-02-28,   47852,   25714,    8957
2017-03-07,   46856,   24101,    9144
2017-03-14,   60922,   24038,    9215
2017-03-21,   47727,   23834,    8608
2017-03-28,   47894,   25538,    8479
2017-04-04,   48427,   26302,    7495
2017-04-11,   49774,   27066,    7517
2017-04-18,   51069,   27944,    6777
2017-04-25,   54974,   30653,    7749
2017-05-02,   54595,   28980,    7814
2017-05-09,   53864,   27162,    8264
2017-05-16,   53992,   25254,    9547
2017-05-23,   54042,   23754,    8937
2017-05-30,   55100,   25368,    9306
2017-06-06,   63241,   29274,   10776
2017-06-13,   89647,   30168,    9852
2017-06-20,   56941,   24919,   10731
2017-06-27,   57176,   22265,   12025
2017-07-03,   58428,   20782,   13067
2017-07-11,   55985,   18253,   12107
2017-07-18,   56703,   20604,   12852
2017-07-25,   58043,   22661,   12006
2017-08-01,   58560,   22743,   11586
2017-08-08,   59955,   21220,   12621
2017-08-15,   60505,   21637,   12205
2017-08-22,   58746,   20634,   12821
2017-08-29,   58179,   21234,   12802
2017-09-05,   56291,   21165,   12338
2017-09-12,   71552,   21870,   12354
2017-09-19,   52922,   20561,   12855
2017-09-26,   53532,   19761,   14107
2017-10-03,   53966,   19815,   13978
2017-10-10,   56427,   21759,   15748
2017-10-17,   55697,   21540,   15753
2017-10-24,   55890,   21716,   14631
2017-10-31,   54393,   21268,   12867
2017-11-07,   55140,   18802,   13053
2017-11-14,   57261,   20431,   14914
2017-11-21,   58925,   18611,   15474
2017-11-28,   58911,   18274,   17152
2017-12-05,   60856,   20067,   18846
2017-12-12,   72410,   18354,   17020
2017-12-19,   55177,   17674,   16866
2017-12-26,   57539,   18126,   17551
2018-01-02,   55389,   19674,   16102
2018-01-09,   51860,   18130,   14890
2018-01-16,   54817,   19625,   14544
2018-01-23,   51194,   17580,   14582
2018-01-30,   51944,   18711,   14236
2018-02-06,   49143,   16635,   14136
2018-02-13,   46006,   13682,   15765
2018-02-20,   46459,   12598,   14256
2018-02-27,   46287,   11818,   11251
2018-03-06,   48410,   12001,   10816
2018-03-13,   58820,   13918,   10090
2018-03-20,   46328,   14080,   11648
2018-03-27,   46896,   14815,   11301
2018-04-03,   50750,   15224,   18382
2018-04-10,   48586,   14573,   15905
2018-04-17,   47647,   13047,   14624
2018-04-24,   48840,   11401,   16343
2018-05-01,   47850,   12969,   15742
2018-05-08,   47008,   12394,   13716
2018-05-15,   49660,   14091,   14099
2018-05-22,   49018,   12469,   13211
2018-05-29,   50257,   13757,   12483
2018-06-05,   51941,   14344,   12122
2018-06-12,   58502,   13376,   11694
2018-06-19,   45194,   15264,   10706
2018-06-26,   47098,   15739,   13033
2018-07-03,   48460,   18144,   14914
2018-07-10,   48659,   19444,   15123
2018-07-17,   49735,   21065,   13225
2018-07-24,   47891,   17823,   11249
2018-07-31,   47922,   18773,   10129
2018-08-07,   48994,   18015,   10680
2018-08-14,   47514,   17106,    9612
2018-08-21,   47967,   16360,   10146
2018-08-28,   49255,   17985,   10502
2018-09-04,   53257,   19532,   10608
2018-09-11,   52726,   17477,   10538
2018-09-18,   61679,   16238,   10372
2018-09-25,   49420,   17370,   10112
2018-10-02,   49441,   18573,   11328
2018-10-09,   49546,   15235,   12972
2018-10-16,   50144,   12291,   12216
2018-10-23,   50872,   14147,   12291
2018-10-30,   49653,   12214,   10164
2018-11-06,   48663,   10533,   10651
2018-11-13,   49733,    8969,   10049
2018-11-20,   51279,   10050,    9155
2018-11-27,   48146,   11324,    8579
2018-12-04,   48620,    8119,   10183
2018-12-11,   50696,    9840,   10449
2018-12-18,   54430,   10670,    9972
2018-12-24,   41653,   10453,    8296
2018-12-31,   40798,    7327,    9085
2019-01-08,   41062,    7391,    8600
2019-01-15,   41781,    7068,   10010
2019-01-22,   41357,    7591,   10431
2019-01-29,   43546,    7526,   11228
2019-02-05,   43092,    7460,   12163
2019-02-12,   43001,    7507,   12866
2019-02-19,   44320,    8323,   13468
2019-02-26,   44657,    9585,   13475
2019-03-05,   46534,    9348,   13591
2019-03-12,   51567,   11096,   13826
2019-03-19,   39868,   12547,   12096
2019-03-26,   38725,   12222,   10740
2019-04-02,   39308,   12309,   10881
2019-04-09,   40204,   12387,   10908
2019-04-16,   41813,   11794,   13499
2019-04-23,   43451,   12553,   13761
2019-04-30,   43989,   13027,   13509
2019-05-07,   41776,   11277,   13147
2019-05-14,   43292,   11663,    9366
2019-05-21,   43256,   12782,   10190
2019-05-28,   44743,   13902,   10358
2019-06-04,   44544,   12281,   11440
2019-06-11,   43984,   13822,   11509
2019-06-18,   49541,   15005,   10710
2019-06-25,   43391,   15532,   11018
2019-07-02,   41814,   14070,    9150
2019-07-09,   42165,   12595,    9009
2019-07-16,   43219,   14979,    9883
2019-07-23,   44925,   14298,    9631
2019-07-30,   45643,   15094,   10099
2019-08-06,   40983,   16775,    8967
2019-08-13,   38828,   14830,    9991
2019-08-20,   38354,   14486,    9770
2019-08-27,   40023,   14078,    9501
2019-09-03,   40017,   14282,    9391
2019-09-10,   40842,   14461,    9082
2019-09-17,   49948,   16298,    9340
2019-09-24,   40586,   13948,   11192
2019-10-01,   41303,   15010,    9656
2019-10-08,   40562,   13335,    9724
2019-10-15,   42866,   16782,   10302
2019-10-22,   43791,   16784,   10566
2019-10-29,   45936,   19153,   11067
2019-11-05,   45370,   18462,   10229
2019-11-12,   46371,   18729,   10754
2019-11-19,   46589,   18032,   11117
2019-11-26,   44884,   18029,   11378
2019-12-03,   42146,   14095,    9674
2019-12-10,   42601,   13101,   10661
2019-12-17,   55265,   13105,   11526
2019-12-24,   42219,   12661,    9965
2019-12-31,   43347,   14302,    9175
2020-01-07,   42058,   12833,    9498
2020-01-14,   43174,   13821,   10476
2020-01-21,   43385,   13847,   12048
2020-01-28,   41234,   14353,    9477
2020-02-04,   40957,   14109,    9851
2020-02-11,   41566,   14808,   13062
2020-02-18,   41664,   15694,   12013
2020-02-25,   42933,   16592,    8676
2020-03-03,   43369,   15557,    9115
2020-03-10,   44032,   14999,   11465
2020-03-17,   59254,   13368,    8885
2020-03-24,   39971,   13345,    7862
2020-03-31,   37304,   12725,    8445
2020-04-07,   36673,   11959,    9156
2020-04-14,   35587,   10902,   10853
2020-04-21,   35851,   11843,   10098
2020-04-28,   36350,   11878,    9678
2020-05-05,   36901,   11545,    8975
2020-05-12,   39313,   12831,   11141
2020-05-19,   39633,   11930,   12921
2020-05-26,   42000,   13748,   13060
2020-06-02,   41947,   13707,   11187
2020-06-09,   43255,   13478,   11447
2020-06-16,   45730,   14653,    9616
2020-06-23,   36512,   14882,    7088
2020-06-30,   38816,   15656,    6892
2020-07-07,   42507,   16359,    7419
2020-07-14,   44657,   15903,    8780
2020-07-21,   44441,   13047,    9905
2020-07-28,   44183,   14488,    9667
2020-08-04,   45713,   14719,   11067
2020-08-11,   47013,   13788,   11288
2020-08-18,   45989,   15576,   11335
2020-08-25,   46997,   15625,   11681
2020-09-01,   49030,   15861,   14135
2020-09-08,   50161,   14256,   17950
2020-09-15,   69673,   15438,   31612
2020-09-22,   66403,   16676,   43538
2020-09-29,   55119,   14857,   30795
2020-10-06,   55500,   14529,   29531
2020-10-13,   45242,   14733,   11160
2020-10-20,   43978,   13223,   12010
2020-10-27,   45535,   13167,   13265
2020-11-03,   44591,   13165,   13103
2020-11-10,   47620,   13685,   16741
2020-11-17,   47695,   12507,   15803
2020-11-24,   49452,   13235,   17795
2020-12-01,   49193,   13349,   17874
2020-12-08,   48901,   14001,   12187
2020-12-15,   55366,   15015,   12608
2020-12-21,   42541,   14062,    7823
2020-12-29,   43377,   14140,   10181
2021-01-05,   44180,   14466,    9309
2021-01-12,   46458,   15673,   11590
2021-01-19,   47010,   17135,   10813
2021-01-26,   46412,   17583,    9651
2021-02-02,   46946,   17434,   11621
2021-02-09,   46874,   16606,   11473
2021-02-16,   47071,   15044,   10823
2021-02-23,   48014,   13507,   14585
2021-03-02,   48803,   11323,   16021
2021-03-09,   50706,   12491,   14990
2021-03-16,   51477,   11413,   13879
2021-03-23,   44355,    9946,   12478
2021-03-30,   44446,    9619,   13192
2021-04-06,   42918,   11488,   13367
2021-04-13,   42860,   11859,   13081
2021-04-20,   43629,   11057,   12082
2021-04-27,   43576,   10512,   12064
2021-05-04,   47448,   11433,   14794
2021-05-11,   45487,   12243,   13445
2021-05-18,   45595,   11798,   13019
2021-05-25,   46678,   10586,   13245
2021-06-01,   47675,   10632,   13542
2021-06-08,   47631,   12104,   13804
2021-06-15,   57779,   13178,   15385
2021-06-22,   44754,   11749,   13822
2021-06-29,   44827,   12705,   14325
2021-07-06,   45658,   13151,   13465
2021-07-13,   46456,   13593,   14444
2021-07-20,   46906,   14379,   14835
2021-07-27,   46944,   12768,   14733
2021-08-03,   44609,   12974,   13267
2021-08-10,   46672,   11700,   14354
2021-08-17,   46900,   10983,   15368
2021-08-24,   45425,   13033,   13517
2021-08-31,   46120,   13879,   14369
2021-09-07,   46866,   15087,   14089
2021-09-14,   55540,   16398,   14486
2021-09-21,   44460,   13980,   12096
2021-09-28,   46122,   12808,   13264
2021-10-05,   45030,   11754,   12285
2021-10-12,   46123,   12134,   12298
2021-10-19,   47473,   12116,   12727
2021-10-26,   49102,   13151,   13802
2021-11-02,   51117,   14303,   12859
2021-11-09,   52579,   16405,   13165
2021-11-16,   52868,   16123,   13431
2021-11-23,   51745,   16719,   11116
2021-11-30,   51695,   17343,   10557
2021-12-07,   50376,   16143,   10988
2021-12-14,   53943,   17007,   10315
2021-12-21,   41614,   14395,    9323
2021-12-28,   42219,   13863,   11042
2022-01-04,   42186,   13910,    9565
2022-01-11,   44044,   15215,   10961
2022-01-18,   47162,   17719,   11677
2022-01-25,   48669,   17582,   11561
2022-02-01,   47867,   14236,   14434
2022-02-08,   46753,   13408,   11814
2022-02-15,   47189,   13604,   11736
2022-02-22,   51586,   15068,   12287
2022-03-01,   49907,   12290,    9863
2022-03-08,   49602,   15072,    9749
2022-03-15,   52947,   13652,    9857
2022-03-22,   42562,   11335,   10773
2022-03-29,   44664,    9804,   12049
2022-04-05,   46538,   11730,   13457
