as_of_date,open_interest,nc_long,nc_short
2005-08-09,287839,168613,50914
2005-08-16,331633,208558,50951
2005-08-23,331804,206898,47211
2005-08-30,291894,158841,49008
2005-09-06,299192,159922,44670
2005-09-13,321200,175285,48487
2005-09-20,363315,219963,61837
2005-09-27,366819,219648,53548
2005-10-04,363529,229464,57966
2005-10-11,370844,234060,56650
2005-10-18,362699,224424,54000
2005-10-25,339388,206809,53457
2005-11-01,334470,180554,49986
2005-11-08,317076,167250,44139
2005-11-15,324719,177421,47735
2005-11-22,350603,201765,38783
2005-11-29,350225,199521,40616
2005-12-06,341011,208466,41053
2005-12-13,337574,189931,33600
2005-12-20,324429,182723,26553
2005-12-27,320115,179324,24802
2006-01-03,325524,180688,29726
2006-01-10,343419,184408,38602
2006-01-17,361704,191650,43171
2006-01-24,356080,188928,46079
2006-01-31,339645,187406,48156
2006-02-07,341727,180971,53622
2006-02-14,338143,167910,48996
2006-02-21,333410,163886,45202
2006-02-28,339859,169963,42593
2006-03-07,338325,167144,46255
2006-03-14,322360,143697,47757
2006-03-21,319618,149946,45682
2006-03-28,334042,163056,42470
2006-04-04,342721,178040,45832
2006-04-11,342632,175000,50668
2006-04-18,353757,177870,47576
2006-04-25,354108,175346,45968
2006-05-02,359539,177709,47421
2006-05-09,351933,175709,41773
2006-05-16,338720,163773,37616
2006-05-23,316143,144247,33149
2006-05-30,314494,133475,31988
2006-06-06,283161,134649,38753
2006-06-13,288981,138766,39479
2006-06-20,288148,131864,41643
2006-06-27,292789,128310,42686
2006-07-03,292500,131186,39266
2006-07-11,312684,142194,40265
2006-07-18,324276,143202,35828
2006-07-25,315635,132268,30713
2006-08-01,304907,132781,30020
2006-08-08,309097,138971,32873
2006-08-15,313327,132019,31475
2006-08-22,306171,128897,32949
2006-08-29,307583,124421,36705
2006-09-05,319998,133991,35657
2006-09-12,310510,121455,37233
2006-09-19,325852,116119,38251
2006-09-26,322937,108117,36873
2006-10-03,330065,107570,38136
2006-10-10,334329,106211,43762
2006-10-17,329875,107993,46734
2006-10-24,331598,104099,48049
2006-10-31,323481,107472,42756
2006-11-07,335036,121406,40240
2006-11-14,356575,126907,38073
2006-11-21,355430,123021,38728
2006-11-28,349517,120078,40212
2006-12-05,330530,122145,38506
2006-12-12,333101,120128,38299
2006-12-19,337096,109682,39789
2006-12-26,340473,110486,42394
2007-01-03,353494,120639,42756
2007-01-09,347491,105157,52289
2007-01-16,344685,109386,46436
2007-01-23,361114,128463,43962
2007-01-30,348035,143964,43619
2007-02-06,360936,151891,43345
2007-02-13,383169,167479,42729
2007-02-20,396115,168838,38905
2007-02-27,415155,182456,40364
2007-03-06,382550,136421,34723
2007-03-13,394090,129078,32736
2007-03-20,359726,125201,31777
2007-03-27,359434,126413,31290
2007-04-03,347817,131858,37913
2007-04-10,369536,150573,37617
2007-04-17,380800,170601,35243
2007-04-24,403388,169703,35861
2007-05-01,396276,163823,33378
2007-05-08,411273,168350,32064
2007-05-15,408936,149772,35874
2007-05-22,416813,141294,45479
2007-05-29,425688,134404,39507
2007-06-05,385046,143052,35435
2007-06-12,412150,125076,49180
2007-06-19,410324,126207,44602
2007-06-26,407640,119068,55991
2007-07-03,375642,109652,43990
2007-07-10,387916,113510,41290
2007-07-17,385595,114788,35069
2007-07-24,401603,154251,31321
2007-07-31,351185,113706,32817
2007-08-07,352908,123391,34020
2007-08-14,347973,118978,24767
2007-08-21,330204,102578,33648
2007-08-28,325767,103844,26633
2007-09-04,339439,126346,29366
2007-09-11,373686,155317,28648
2007-09-18,392748,168140,26490
2007-09-25,440945,201188,27143
2007-10-02,439865,210766,34871
2007-10-09,458936,221749,31053
2007-10-16,483872,238432,36573
2007-10-23,489471,226875,40571
2007-10-30,516163,232622,34016
2007-11-06,556856,241475,39350
2007-11-13,552546,228360,37575
2007-11-20,512430,213234,40844
2007-11-27,520782,206498,31417
2007-12-04,486709,190888,23364
2007-12-11,486198,196529,24755
2007-12-18,495001,197789,27516
2007-12-24,517020,210521,26146
2007-12-31,541854,227112,27674
2008-01-08,558309,238089,32685
2008-01-15,593953,247106,35059
2008-01-22,560173,241183,36108
2008-01-29,522142,237252,31472
2008-02-05,495139,234852,31110
2008-02-12,475749,240806,34210
2008-02-19,489789,251717,39458
2008-02-26,495102,250270,40907
2008-03-04,486992,240597,44817
2008-03-11,482035,239048,42705
2008-03-18,489055,232427,40418
2008-03-25,452193,214651,38909
2008-04-01,399393,190958,29680
2008-04-08,407212,196823,31430
2008-04-15,422699,202910,30933
2008-04-22,424218,201865,34242
2008-04-29,429670,194844,34196
2008-05-06,433741,192719,36752
2008-05-13,439636,197809,44871
2008-05-20,453084,216324,34205
2008-05-27,430961,220954,29442
2008-06-03,398441,200544,30333
2008-06-10,396392,189175,37927
2008-06-17,390471,180637,29447
2008-06-24,401226,190218,36680
2008-07-01,434024,223539,35860
2008-07-08,443202,225045,35443
2008-07-15,483920,240934,38151
2008-07-22,475606,231170,36517
2008-07-29,446013,212285,29966
2008-08-05,408430,192528,28800
2008-08-12,365611,159313,28653
2008-08-19,372968,144104,31738
2008-08-26,380766,147240,41961
2008-09-02,382329,139251,46060
2008-09-09,392592,133946,51291
2008-09-16,393814,147720,57429
2008-09-23,368254,156812,35796
2008-09-30,336598,141026,23240
2008-10-07,329480,137672,26059
2008-10-14,323496,131093,24268
2008-10-21,319472,125951,26749
2008-10-28,313709,117638,39323
2008-11-04,303908,118166,49971
2008-11-11,293831,116351,52392
2008-11-18,289700,111063,46234
2008-11-25,276567,115014,33142
2008-12-02,264796,111592,27223
2008-12-09,261001,111284,28129
